slug	source	base_url
BirdNET-Pi_nm_flowchart.alpha	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
PREVIEW	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
acanthagenys-rufogularis	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
acanthiza-apicalis	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
acanthiza-chrysorrhoa	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
acanthiza-lineata	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
acanthiza-nana	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
acanthiza-pusilla	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
acanthiza-reguloides	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
acanthiza-uropygialis	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
acanthorhynchus-tenuirostris	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
accipiter-cirrocephalus	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
accipiter-fasciatus	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
accipiter-nisus	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
accipiter-novaehollandiae	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
acridotheres-cristatellus	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
acridotheres-tristis	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
acrocephalus-agricola	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
acrocephalus-arundinaceus	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
acrocephalus-australis	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
acrocephalus-dumetorum	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
acrocephalus-melanopogon	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
acrocephalus-paludicola	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
acrocephalus-palustris	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
acrocephalus-schoenobaenus	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
acrocephalus-scirpaceus	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
actitis-hypoleucos	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
actophilornis-africanus	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
aegithalos-caudatus	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
aegolius-funereus	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
aegotheles-cristatus	canberra-act	https://raw.githubusercontent.com/opurtell/AvianVisitorsACT/main/avian/assets/illustrations
aegypius-monachus	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
agapornis-fischeri	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
agapornis-personatus	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
agapornis-roseicollis	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
aix-galericulata	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
alaemon-alaudipes	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
alauda-arvensis	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
alaudala-rufescens	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
alca-torda	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
alcedo-atthis	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
alectoris-barbara	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
alectoris-chukar	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
alectoris-graeca	switzerland	https://raw.githubusercontent.com/theskyisthelimit/AvianVisitors/europe-illustrations/avian/assets/illustrations
alectoris-rufa	iberia	https://raw.githubusercontent.com/RoqueAlonso/AvianVisitors/iberia-illustrations/avian/assets/illustrations
alipiopsitta-xanthops	gb-eng	https://raw.githubusercontent.com/lloydalexporter/AvianAssets_GB-ENG/main/illustrations
